Nutrient,Age-sex group (*: excludes pregnant or breastfeeding),N,Article_group1,Food group_level1,Article_group2,Food group_level2,Article_group3,Food group_level3,Amount,Amount_SE,L95%CI,U95%CI,Unit,Percentage,Percentage_SE,Interpretation_Notes,Food_Group_Level
Folate,Femmes adultes* 19 ans +,762,des,Confiserie - sucres et grignotines salées,des,Desserts glacés,des,Produits laitiers glacés et analogues,0.8,0.1,0.7,1,mcg (ÉFA),0.2,0,,3
Folate,Femmes adultes* 19 ans +,87,des,Confiserie - sucres et grignotines salées,des,Desserts glacés,des,Popsicles et sorbet,0,0,0,0,mcg (ÉFA),0,0,,3
Folate,Femmes adultes* 19 ans +,773,des,Confiserie - sucres et grignotines salées,des,Sucres - sirops et confitures,des,Confitures - gelées et marmelades,0.2,0,0.1,0.2,mcg (ÉFA),0,0,,3
Folate,Femmes adultes* 19 ans +,1529,des,Confiserie - sucres et grignotines salées,des,Sucres - sirops et confitures,des,Autres sucres et sirops,0.1,0,0.1,0.1,mcg (ÉFA),0,0,,3
Folate,Femmes adultes* 19 ans +,360,des,Confiserie - sucres et grignotines salées,des,Sucres - sirops et confitures,des,Édulcorants,0,0,0,0,mcg (ÉFA),0,0,,3
Folate,Femmes adultes* 19 ans +,4229,des,Confiserie - sucres et grignotines salées,des,Sucres - sirops et confitures,des,Sucres,0,0,0,0,mcg (ÉFA),0,0,,3
Folate,Enfants 1 à 8 ans,122,des,Aliments pour bébés,,,,,F,F,,,mcg (ÉFA),F,F,F,1
Folate,Enfants 1 à 8 ans,95,des,Aliments pour bébés,des,Produits alimentaires pour bébés,,,F,F,,,mcg (ÉFA),F,F,F,2
Folate,Enfants 1 à 8 ans,46,des,Aliments pour bébés,des,Préparation pour nourrissons,,,0,0,0,0,mcg (ÉFA),0,0,,2
Folate,Enfants 1 à 8 ans,2443,des,Boissons (excluant laits),,,,,12.8,0.8,11.3,14.4,mcg (ÉFA),3.9,0.2,,1
Folate,Enfants 1 à 8 ans,20,des,Boissons (excluant laits),de l',Alcool,,,0,0,0,0.1,mcg (ÉFA),0,0,,2
Folate,Enfants 1 à 8 ans,141,des,Boissons (excluant laits),du,Café et thé,,,0.3,0.1,0.1,0.5,mcg (ÉFA),0.1,0,E,2
Folate,Enfants 1 à 8 ans,,des,Boissons (excluant laits),des,Boissons Énergisantes,,,X,X,,,mcg (ÉFA),X,X,<10,2
Folate,Enfants 1 à 8 ans,357,des,Boissons (excluant laits),des,Boissons aux fruits,,,0.4,0.1,0.2,0.6,mcg (ÉFA),0.1,0,E,2
Folate,Enfants 1 à 8 ans,1159,des,Boissons (excluant laits),des,Jus de fruit,,,11.5,0.8,10,13,mcg (ÉFA),3.5,0.2,,2
Folate,Enfants 1 à 8 ans,77,des,Boissons (excluant laits),des,Autres boissons,,,0.1,0,0,0.1,mcg (ÉFA),0,0,,2
Folate,Enfants 1 à 8 ans,142,des,Boissons (excluant laits),des,Boissons gazeuses,,,0,0,0,0,mcg (ÉFA),0,0,,2
Folate,Enfants 1 à 8 ans,21,des,Boissons (excluant laits),des,Boissons pour sportifs,,,0,0,0,0,mcg (ÉFA),0,0,,2
Folate,Enfants 1 à 8 ans,52,des,Boissons (excluant laits),des,Jus de tomates et de légumes,,,0.6,0.2,0.3,0.9,mcg (ÉFA),0.2,0,E,2
Folate,Enfants 1 à 8 ans,,des,Boissons (excluant laits),de l',Eau vitaminée,,,X,X,,,mcg (ÉFA),X,X,<10,2
Folate,Enfants 1 à 8 ans,2344,des,Boissons (excluant laits),de l',Eau,,,0,0,0,0,mcg (ÉFA),0,0,,2
Folate,Enfants 1 à 8 ans,133,des,Boissons (excluant laits),du,Café et thé,du,Thé,0.3,0.1,0.1,0.5,mcg (ÉFA),0.1,0,E,3
Folate,Enfants 1 à 8 ans,,des,Boissons (excluant laits),du,Café et thé,du,Café,X,X,,,mcg (ÉFA),X,X,<10,3
Folate,Enfants 1 à 8 ans,2436,des,Produits laitiers et Boissons à base de plantes,,,,,23.7,0.6,22.5,24.8,mcg (ÉFA),7.2,0.2,,1
Folate,Enfants 1 à 8 ans,1632,des,Produits laitiers et Boissons à base de plantes,des,Fromages,,,4,0.2,3.6,4.5,mcg (ÉFA),1.2,0.1,,2
Folate,Enfants 1 à 8 ans,2341,des,Produits laitiers et Boissons à base de plantes,des,Laits et boissons à base de plantes,,,17.7,0.5,16.7,18.7,mcg (ÉFA),5.4,0.2,,2
Folate,Enfants 1 à 8 ans,1032,des,Produits laitiers et Boissons à base de plantes,des,Yogourts,,,1.9,0.1,1.7,2.2,mcg (ÉFA),0.6,0,,2
Folate,Enfants 1 à 8 ans,1810,des,Produits laitiers et Boissons à base de plantes,des,Laits et boissons à base de plantes,du,Lait 2%,7.8,0.4,7.1,8.5,mcg (ÉFA),2.4,0.1,,3
Folate,Enfants 1 à 8 ans,1078,des,Produits laitiers et Boissons à base de plantes,des,Laits et boissons à base de plantes,du,Lait entier,5.3,0.3,4.7,6,mcg (ÉFA),1.6,0.1,,3
Folate,Enfants 1 à 8 ans,854,des,Produits laitiers et Boissons à base de plantes,des,Laits et boissons à base de plantes,du,Lait 1%,2.9,0.3,2.2,3.5,mcg (ÉFA),0.9,0.1,,3
Folate,Enfants 1 à 8 ans,128,des,Produits laitiers et Boissons à base de plantes,des,Laits et boissons à base de plantes,des,Boissons à base de plantes,1,0.2,0.7,1.4,mcg (ÉFA),0.3,0.1,E,3
Folate,Enfants 1 à 8 ans,253,des,Produits laitiers et Boissons à base de plantes,des,Laits et boissons à base de plantes,de la,Crème et autres types de lait,0.3,0.1,0.1,0.5,mcg (ÉFA),0.1,0,E,3
Folate,Enfants 1 à 8 ans,739,des,Produits laitiers et Boissons à base de plantes,des,Laits et boissons à base de plantes,du,Lait écrémé,0.4,0.1,0.3,0.6,mcg (ÉFA),0.1,0,E,3
Folate,Enfants 1 à 8 ans,2270,des,Graisses et huiles,,,,,0.2,0,0.2,0.2,mcg (ÉFA),0.1,0,,1
Folate,Enfants 1 à 8 ans,83,des,Graisses et huiles,des,Graisses animales,,,0,0,0,0,mcg (ÉFA),0,0,,2
Folate,Enfants 1 à 8 ans,657,des,Graisses et huiles,du,Beurre,,,0.1,0,0,0.1,mcg (ÉFA),0,0,,2
Folate,Enfants 1 à 8 ans,1330,des,Graisses et huiles,des,Margarines,,,0,0,0,0,mcg (ÉFA),0,0,,2
Folate,Enfants 1 à 8 ans,463,des,Graisses et huiles,des,Sauces pour salade,,,0.1,0,0.1,0.1,mcg (ÉFA),0,0,,2
Folate,Enfants 1 à 8 ans,1035,des,Graisses et huiles,du,Shortening,,,0,0,0,0,mcg (ÉFA),0,0,,2
Folate,Enfants 1 à 8 ans,1330,des,Graisses et huiles,des,Huiles végétales,,,0,0,0,0,mcg (ÉFA),0,0,,2
Folate,Enfants 1 à 8 ans,298,des,Poissons et fruits de mer,,,,,1,0.3,0.5,1.5,mcg (ÉFA),0.3,0.1,E,1
Folate,Enfants 1 à 8 ans,257,des,Poissons et fruits de mer,des,Poissons,,,0.9,0.2,0.4,1.4,mcg (ÉFA),0.3,0.1,E,2
Folate,Enfants 1 à 8 ans,50,des,Poissons et fruits de mer,des,Mollusques et crustacés,,,0.1,0,0.1,0.2,mcg (ÉFA),0,0,,2
Folate,Enfants 1 à 8 ans,2428,des,Fruits et légumes,,,,,52,1.7,48.6,55.3,mcg (ÉFA),15.8,0.5,,1
Folate,Enfants 1 à 8 ans,2117,des,Fruits et légumes,des,Fruits,,,22.2,0.9,20.5,23.9,mcg (ÉFA),6.8,0.3,,2
Folate,Enfants 1 à 8 ans,2235,des,Fruits et légumes,des,Légumes incluant pommes de terre,,,29.8,1.4,27.1,32.4,mcg (ÉFA),9,0.4,,2
Folate,Enfants 1 à 8 ans,873,des,Fruits et légumes,des,Fruits,des,Banane,5.8,0.3,5.1,6.5,mcg (ÉFA),1.8,0.1,,3
Folate,Enfants 1 à 8 ans,421,des,Fruits et légumes,des,Fruits,des,Agrumes,4.6,0.4,3.8,5.4,mcg (ÉFA),1.4,0.1,,3
Folate,Enfants 1 à 8 ans,830,des,Fruits et légumes,des,Fruits,des,Baies,3.9,0.4,3.2,4.6,mcg (ÉFA),1.2,0.1,,3
Folate,Enfants 1 à 8 ans,260,des,Fruits et légumes,des,Fruits,des,Autres fruits,3,0.5,2,3.9,mcg (ÉFA),0.9,0.1,E,3
Folate,Enfants 1 à 8 ans,978,des,Fruits et légumes,des,Fruits,des,Pomme,1.6,0.1,1.5,1.8,mcg (ÉFA),0.5,0,,3
Folate,Enfants 1 à 8 ans,219,des,Fruits et légumes,des,Fruits,des,Melons,1.7,0.3,1.1,2.3,mcg (ÉFA),0.5,0.1,E,3
Folate,Enfants 1 à 8 ans,572,des,Fruits et légumes,des,Fruits,des,Raisins et raisins secs,0.3,0,0.2,0.4,mcg (ÉFA),0.1,0,,3
Folate,Enfants 1 à 8 ans,118,des,Fruits et légumes,des,Fruits,des,Pêches et nectarines,0.3,0,0.2,0.3,mcg (ÉFA),0.1,0,,3
Folate,Enfants 1 à 8 ans,133,des,Fruits et légumes,des,Fruits,des,Poires,0.5,0.1,0.3,0.6,mcg (ÉFA),0.1,0,E,3
Folate,Enfants 1 à 8 ans,94,des,Fruits et légumes,des,Fruits,des,Ananas,0.4,0.1,0.2,0.5,mcg (ÉFA),0.1,0,E,3
Folate,Enfants 1 à 8 ans,47,des,Fruits et légumes,des,Fruits,des,Cerises,0.1,0,0,0.1,mcg (ÉFA),0,0,,3
Folate,Enfants 1 à 8 ans,37,des,Fruits et légumes,des,Fruits,des,Prunes et pruneaux,0.1,0,0,0.1,mcg (ÉFA),0,0,,3
Folate,Enfants 1 à 8 ans,1068,des,Fruits et légumes,des,Légumes incluant pommes de terre,des,Légumes vert foncé,12.5,1.1,10.4,14.6,mcg (ÉFA),3.8,0.3,,3
Folate,Enfants 1 à 8 ans,1773,des,Fruits et légumes,des,Légumes incluant pommes de terre,des,Autres légumes,9.5,0.5,8.5,10.5,mcg (ÉFA),2.9,0.2,,3
Folate,Enfants 1 à 8 ans,1032,des,Fruits et légumes,des,Légumes incluant pommes de terre,des,Légumes féculents,5.7,0.4,4.9,6.4,mcg (ÉFA),1.7,0.1,,3
Folate,Enfants 1 à 8 ans,875,des,Fruits et légumes,des,Légumes incluant pommes de terre,des,Légumes jaune foncé ou orange,2.1,0.2,1.7,2.5,mcg (ÉFA),0.6,0.1,,3
Folate,Enfants 1 à 8 ans,2475,des,Produits céréaliers,,,,,200,5.6,189.1,211,mcg (ÉFA),60.8,0.9,,1
Folate,Enfants 1 à 8 ans,2114,des,Produits céréaliers,des,Pains,,,82.2,3.3,75.7,88.8,mcg (ÉFA),25,0.9,,2
Folate,Enfants 1 à 8 ans,1282,des,Produits céréaliers,des,Céréales pour déjeuner,,,20.3,0.9,18.5,22.1,mcg (ÉFA),6.2,0.3,,2
Folate,Enfants 1 à 8 ans,970,des,Produits céréaliers,des,Biscuits - gâteaux - tartes - biscuits à la poudre à pâte et barres granola,,,9.9,0.7,8.7,11.2,mcg (ÉFA),3,0.2,,2
Folate,Enfants 1 à 8 ans,2037,des,Produits céréaliers,des,Pâtes alimentaires - riz - grains céréaliers et farines,,,87.6,4.4,79,96.2,mcg (ÉFA),26.6,1.1,,2
Folate,Enfants 1 à 8 ans,951,des,Produits céréaliers,des,Pains,des,Pains et petits pains blancs,41.2,2.9,35.5,47,mcg (ÉFA),12.5,0.8,,3
Folate,Enfants 1 à 8 ans,805,des,Produits céréaliers,des,Pains,des,Autres produits panifiés,20.5,1.7,17.1,24,mcg (ÉFA),6.2,0.5,,3
Folate,Enfants 1 à 8 ans,745,des,Produits céréaliers,des,Pains,des,Craquelins et biscottes,12.2,1.2,10,14.5,mcg (ÉFA),3.7,0.3,,3
Folate,Enfants 1 à 8 ans,813,des,Produits céréaliers,des,Pains,des,Pains et petits pains à grains entiers et blé entier,8.2,0.7,6.9,9.6,mcg (ÉFA),2.5,0.2,,3
Folate,Enfants 1 à 8 ans,670,des,Produits céréaliers,des,Céréales pour déjeuner,des,Céréales pour déjeuner (autre),11.4,0.7,10,12.9,mcg (ÉFA),3.5,0.2,,3
Folate,Enfants 1 à 8 ans,728,des,Produits céréaliers,des,Céréales pour déjeuner,des,Céréales pour déjeuner à grains entiers - À l'avoine et à haute teneur en fibres,8.9,0.7,7.5,10.3,mcg (ÉFA),2.7,0.2,,3
Folate,Enfants 1 à 8 ans,21,des,Produits céréaliers,des,Biscuits - gâteaux - tartes - biscuits à la poudre à pâte et barres granola,des,Gâteaux,0.4,0.1,0.1,0.6,mcg (ÉFA),0.1,0,E,3
Folate,Enfants 1 à 8 ans,26,des,Produits céréaliers,des,Biscuits - gâteaux - tartes - biscuits à la poudre à pâte et barres granola,des,Brioches - beignes et autres pâtisseries,0.3,0.1,0,0.5,mcg (ÉFA),0.1,0,E,3
Folate,Enfants 1 à 8 ans,317,des,Produits céréaliers,des,Biscuits - gâteaux - tartes - biscuits à la poudre à pâte et barres granola,des,Barres granola,0.4,0,0.3,0.5,mcg (ÉFA),0.1,0,,3
Folate,Enfants 1 à 8 ans,1461,des,Produits céréaliers,des,Pâtes alimentaires - riz - grains céréaliers et farines,des,Grains céréaliers et farines,38.4,2.7,33.2,43.6,mcg (ÉFA),11.7,0.7,,3
Folate,Enfants 1 à 8 ans,834,des,Produits céréaliers,des,Pâtes alimentaires - riz - grains céréaliers et farines,des,Pâtes alimentaires,46.1,3.7,39,53.3,mcg (ÉFA),14,1,,3
Folate,Enfants 1 à 8 ans,654,des,Produits céréaliers,des,Pâtes alimentaires - riz - grains céréaliers et farines,du,Riz,3,0.5,2,4.1,mcg (ÉFA),0.9,0.2,E,3
Folate,Enfants 1 à 8 ans,2072,de la,Viandes et volailles,,,,,4,0.4,3.3,4.7,mcg (ÉFA),1.2,0.1,,1
Folate,Enfants 1 à 8 ans,1003,de la,Viandes et volailles,de la,Volaille,,,1.7,0.3,1.1,2.3,mcg (ÉFA),0.5,0.1,E,2
Folate,Enfants 1 à 8 ans,942,de la,Viandes et volailles,des,Viandes transformées,,,1.1,0.2,0.7,1.5,mcg (ÉFA),0.3,0.1,E,2
Folate,Enfants 1 à 8 ans,999,de la,Viandes et volailles,de la,Viande rouge,,,1.2,0.1,1,1.4,mcg (ÉFA),0.4,0,,2
Folate,Enfants 1 à 8 ans,933,de la,Viandes et volailles,de la,Volaille,du,Poulet,1.6,0.3,1,2.2,mcg (ÉFA),0.5,0.1,E,3
Folate,Enfants 1 à 8 ans,86,de la,Viandes et volailles,de la,Volaille,de la,Dinde et autres volailles,0.1,0,0,0.1,mcg (ÉFA),0,0,,3
Folate,Enfants 1 à 8 ans,375,de la,Viandes et volailles,des,Viandes transformées,des,Saucisses,0.9,0.2,0.5,1.3,mcg (ÉFA),0.3,0.1,E,3
Folate,Enfants 1 à 8 ans,135,de la,Viandes et volailles,des,Viandes transformées,du,Bacon,0,0,0,0,mcg (ÉFA),0,0,,3
Folate,Enfants 1 à 8 ans,106,de la,Viandes et volailles,des,Viandes transformées,du,Porc salé,0,0,0,0.1,mcg (ÉFA),0,0,,3
Folate,Enfants 1 à 8 ans,513,de la,Viandes et volailles,des,Viandes transformées,des,Viandes froides,0.2,0,0.1,0.2,mcg (ÉFA),0,0,,3
Folate,Enfants 1 à 8 ans,779,de la,Viandes et volailles,de la,Viande rouge,du,Bœuf,0.9,0.1,0.8,1,mcg (ÉFA),0.3,0,,3
Folate,Enfants 1 à 8 ans,284,de la,Viandes et volailles,de la,Viande rouge,du,Porc frais,0.2,0,0.1,0.3,mcg (ÉFA),0.1,0,,3
Folate,Enfants 1 à 8 ans,43,de la,Viandes et volailles,de la,Viande rouge,de l',Agneau - veau et gibiers,F,F,,,mcg (ÉFA),F,F,F,3
Folate,Enfants 1 à 8 ans,,de la,Viandes et volailles,de la,Viande rouge,des,Abats - foies et pâtés,X,X,,,mcg (ÉFA),X,X,<10,3
Folate,Enfants 1 à 8 ans,1789,des,Substituts de viande,,,,,20.4,1.9,16.7,24.1,mcg (ÉFA),6.2,0.5,,1
Folate,Enfants 1 à 8 ans,1450,des,Substituts de viande,des,Œufs,,,7.8,0.4,7,8.6,mcg (ÉFA),2.4,0.1,,2
Folate,Enfants 1 à 8 ans,210,des,Substituts de viande,des,Légumineuses,,,7.7,1.7,4.5,11,mcg (ÉFA),2.3,0.5,E,2
Folate,Enfants 1 à 8 ans,749,des,Substituts de viande,des,Noix - graines et beurre d'arachides,,,4.3,0.5,3.4,5.2,mcg (ÉFA),1.3,0.1,,2
Folate,Enfants 1 à 8 ans,58,des,Substituts de viande,du,Tofu et produits sans viande,,,0.6,0.2,0.2,1,mcg (ÉFA),0.2,0.1,E,2
Folate,Enfants 1 à 8 ans,45,des,Boissons et barres nutritionnelles,,,,,2,0.6,0.9,3.1,mcg (ÉFA),0.6,0.2,E,1
Folate,Enfants 1 à 8 ans,40,des,Boissons et barres nutritionnelles,des,Substituts de repas et boissons nutritionnelles,,,2,0.6,0.9,3.1,mcg (ÉFA),0.6,0.2,E,2
Folate,Enfants 1 à 8 ans,,des,Boissons et barres nutritionnelles,des,Barres nutritionnelles,,,X,X,,,mcg (ÉFA),X,X,<10,2
Folate,Enfants 1 à 8 ans,2295,des,Soupes - sauces - Épices et autres ingrédients,,,,,5.6,0.4,4.9,6.3,mcg (ÉFA),1.7,0.1,,1
Folate,Enfants 1 à 8 ans,761,des,Soupes - sauces - Épices et autres ingrédients,des,Sauces et sauces brunes,,,0.7,0.1,0.5,0.8,mcg (ÉFA),0.2,0,,2
Folate,Enfants 1 à 8 ans,532,des,Soupes - sauces - Épices et autres ingrédients,des,Soupes,,,1.7,0.2,1.2,2.1,mcg (ÉFA),0.5,0.1,,2
Folate,Enfants 1 à 8 ans,2205,des,Soupes - sauces - Épices et autres ingrédients,des,Épices - assaisonnements et autres ingrédients ,,,3.3,0.3,2.7,3.9,mcg (ÉFA),1,0.1,,2
Folate,Enfants 1 à 8 ans,2106,des,Confiserie - sucres et grignotines salées,,,,,6.8,1.5,3.8,9.8,mcg (ÉFA),2.1,0.5,E,1
Folate,Enfants 1 à 8 ans,1048,des,Confiserie - sucres et grignotines salées,des,Confiserie,,,0.8,0.1,0.7,0.9,mcg (ÉFA),0.2,0,,2
Folate,Enfants 1 à 8 ans,497,des,Confiserie - sucres et grignotines salées,des,Desserts glacés,,,1.1,0.1,0.8,1.3,mcg (ÉFA),0.3,0,,2
Folate,Enfants 1 à 8 ans,615,des,Confiserie - sucres et grignotines salées,des,Grignotines salées,,,2.4,0.4,1.7,3.2,mcg (ÉFA),0.7,0.1,E,2
Folate,Enfants 1 à 8 ans,1642,des,Confiserie - sucres et grignotines salées,des,Sucres - sirops et confitures,,,F,F,,,mcg (ÉFA),F,F,F,2
Folate,Enfants 1 à 8 ans,557,des,Confiserie - sucres et grignotines salées,des,Confiserie,des,Bonbons,0.2,0,0.1,0.3,mcg (ÉFA),0.1,0,,3
Folate,Enfants 1 à 8 ans,548,des,Confiserie - sucres et grignotines salées,des,Confiserie,du,Chocolat - bonbons et barres,0.5,0,0.4,0.6,mcg (ÉFA),0.1,0,,3
Folate,Enfants 1 à 8 ans,131,des,Confiserie - sucres et grignotines salées,des,Confiserie,des,Gélatine - garnitures à dessert et poudings,0.1,0,0.1,0.1,mcg (ÉFA),0,0,,3
Folate,Enfants 1 à 8 ans,346,des,Confiserie - sucres et grignotines salées,des,Desserts glacés,des,Produits laitiers glacés et analogues,1,0.1,0.8,1.3,mcg (ÉFA),0.3,0,,3
Folate,Enfants 1 à 8 ans,184,des,Confiserie - sucres et grignotines salées,des,Desserts glacés,des,Popsicles et sorbet,0,0,0,0.1,mcg (ÉFA),0,0,,3
Folate,Enfants 1 à 8 ans,257,des,Confiserie - sucres et grignotines salées,des,Sucres - sirops et confitures,des,Confitures - gelées et marmelades,0.1,0,0.1,0.2,mcg (ÉFA),0,0,,3
Folate,Enfants 1 à 8 ans,1341,des,Confiserie - sucres et grignotines salées,des,Sucres - sirops et confitures,des,Sucres,0,0,0,0,mcg (ÉFA),0,0,,3
Folate,Enfants 1 à 8 ans,720,des,Confiserie - sucres et grignotines salées,des,Sucres - sirops et confitures,des,Autres sucres et sirops,F,F,,,mcg (ÉFA),F,F,F,3
Folate,Enfants 1 à 8 ans,,des,Confiserie - sucres et grignotines salées,des,Sucres - sirops et confitures,des,Édulcorants,X,X,,,mcg (ÉFA),X,X,<10,3
Fer,Population 1 an et +,186,des,Aliments pour bébés,,,,,0,0,0,0.1,mg,0.3,0.1,,1
Fer,Population 1 an et +,154,des,Aliments pour bébés,des,Produits alimentaires pour bébés,,,0,0,0,0,mg,0.2,0.1,,2
Fer,Population 1 an et +,51,des,Aliments pour bébés,des,Préparation pour nourrissons,,,0,0,0,0,mg,0.1,0,,2
Fer,Population 1 an et +,19574,des,Boissons (excluant laits),,,,,0.5,0,0.5,0.5,mg,4.1,0.1,,1
Fer,Population 1 an et +,3540,des,Boissons (excluant laits),de l',Alcool,,,0.1,0,0.1,0.1,mg,1.1,0.1,,2
Fer,Population 1 an et +,12127,des,Boissons (excluant laits),du,Café et thé,,,0.1,0,0.1,0.1,mg,0.7,0,,2
Fer,Population 1 an et +,103,des,Boissons (excluant laits),des,Boissons Énergisantes,,,0,0,0,0,mg,0,0,,2
Fer,Population 1 an et +,2096,des,Boissons (excluant laits),des,Boissons aux fruits,,,0,0,0,0.1,mg,0.4,0,,2
Fer,Population 1 an et +,6617,des,Boissons (excluant laits),des,Jus de fruit,,,0.1,0,0.1,0.1,mg,0.9,0,,2
Fer,Population 1 an et +,541,des,Boissons (excluant laits),des,Autres boissons,,,0,0,0,0,mg,0.1,0,,2
Fer,Population 1 an et +,4394,des,Boissons (excluant laits),des,Boissons gazeuses,,,0.1,0,0.1,0.1,mg,0.5,0,,2
Fer,Population 1 an et +,320,des,Boissons (excluant laits),des,Boissons pour sportifs,,,0,0,0,0,mg,0,0,,2
Fer,Population 1 an et +,454,des,Boissons (excluant laits),des,Jus de tomates et de légumes,,,0,0,0,0,mg,0.1,0,,2
Fer,Population 1 an et +,82,des,Boissons (excluant laits),de l',Eau vitaminée,,,0,0,0,0,mg,0,0,,2
Fer,Population 1 an et +,18272,des,Boissons (excluant laits),de l',Eau,,,0,0,0,0,mg,0.2,0,,2
Fer,Population 1 an et +,9217,des,Boissons (excluant laits),du,Café et thé,du,Café,0.1,0,0,0.1,mg,0.4,0,,3
Fer,Population 1 an et +,5357,des,Boissons (excluant laits),du,Café et thé,du,Thé,0,0,0,0,mg,0.3,0,,3
Fer,Population 1 an et +,18629,des,Produits laitiers et Boissons à base de plantes,,,,,0.2,0,0.2,0.2,mg,1.8,0,,1
Fer,Population 1 an et +,11627,des,Produits laitiers et Boissons à base de plantes,des,Fromages,,,0.1,0,0.1,0.1,mg,0.6,0,,2
Fer,Population 1 an et +,17005,des,Produits laitiers et Boissons à base de plantes,des,Laits et boissons à base de plantes,,,0.1,0,0.1,0.1,mg,0.9,0,,2
Fer,Population 1 an et +,4392,des,Produits laitiers et Boissons à base de plantes,des,Yogourts,,,0,0,0,0,mg,0.3,0,,2
Fer,Population 1 an et +,814,des,Produits laitiers et Boissons à base de plantes,des,Laits et boissons à base de plantes,des,Boissons à base de plantes,0,0,0,0,mg,0.3,0,,3
Fer,Population 1 an et +,6481,des,Produits laitiers et Boissons à base de plantes,des,Laits et boissons à base de plantes,du,Lait 1%,0,0,0,0,mg,0.2,0,,3
Fer,Population 1 an et +,12441,des,Produits laitiers et Boissons à base de plantes,des,Laits et boissons à base de plantes,du,Lait 2%,0,0,0,0,mg,0.2,0,,3
Fer,Population 1 an et +,5835,des,Produits laitiers et Boissons à base de plantes,des,Laits et boissons à base de plantes,du,Lait entier,0,0,0,0,mg,0.1,0,,3
Fer,Population 1 an et +,4411,des,Produits laitiers et Boissons à base de plantes,des,Laits et boissons à base de plantes,de la,Crème et autres types de lait,0,0,0,0,mg,0,0,,3
Fer,Population 1 an et +,6026,des,Produits laitiers et Boissons à base de plantes,des,Laits et boissons à base de plantes,du,Lait écrémé,0,0,0,0,mg,0,0,,3
Fer,Population 1 an et +,18258,des,Graisses et huiles,,,,,0,0,0,0,mg,0.3,0,,1
Fer,Population 1 an et +,944,des,Graisses et huiles,des,Graisses animales,,,0,0,0,0,mg,0,0,,2
Fer,Population 1 an et +,5492,des,Graisses et huiles,du,Beurre,,,0,0,0,0,mg,0,0,,2
Fer,Population 1 an et +,10649,des,Graisses et huiles,des,Margarines,,,0,0,0,0,mg,0,0,,2
Fer,Population 1 an et +,6743,des,Graisses et huiles,des,Sauces pour salade,,,0,0,0,0,mg,0.2,0,,2
Fer,Population 1 an et +,7605,des,Graisses et huiles,du,Shortening,,,0,0,0,0,mg,0,0,,2
Fer,Population 1 an et +,10208,des,Graisses et huiles,des,Huiles végétales,,,0,0,0,0,mg,0.1,0,,2
Fer,Population 1 an et +,3197,des,Poissons et fruits de mer,,,,,0.2,0,0.1,0.2,mg,1.2,0.1,,1
Fer,Population 1 an et +,2522,des,Poissons et fruits de mer,des,Poissons,,,0.1,0,0.1,0.1,mg,0.9,0.1,,2
Fer,Population 1 an et +,924,des,Poissons et fruits de mer,des,Mollusques et crustacés,,,0,0,0,0,mg,0.3,0,,2
Fer,Population 1 an et +,18914,des,Fruits et légumes,,,,,1.7,0,1.6,1.7,mg,13.6,0.2,,1
Fer,Population 1 an et +,13689,des,Fruits et légumes,des,Fruits,,,0.4,0,0.4,0.4,mg,3.2,0.1,,2
Fer,Population 1 an et +,17977,des,Fruits et légumes,des,Légumes incluant pommes de terre,,,1.3,0,1.2,1.3,mg,10.5,0.2,,2
Fer,Population 1 an et +,5308,des,Fruits et légumes,des,Fruits,des,Banane,0.1,0,0.1,0.1,mg,0.6,0,,3
Fer,Population 1 an et +,4326,des,Fruits et légumes,des,Fruits,des,Baies,0.1,0,0.1,0.1,mg,0.5,0,,3
Fer,Population 1 an et +,5026,des,Fruits et légumes,des,Fruits,des,Pomme,0.1,0,0,0.1,mg,0.4,0,,3
Fer,Population 1 an et +,2881,des,Fruits et légumes,des,Fruits,des,Raisins et raisins secs,0,0,0,0,mg,0.4,0,,3
Fer,Population 1 an et +,2103,des,Fruits et légumes,des,Fruits,des,Autres fruits,0.1,0,0,0.1,mg,0.4,0,,3
Fer,Population 1 an et +,3372,des,Fruits et légumes,des,Fruits,des,Agrumes,0,0,0,0,mg,0.2,0,,3
Fer,Population 1 an et +,982,des,Fruits et légumes,des,Fruits,des,Melons,0,0,0,0,mg,0.2,0,,3
Fer,Population 1 an et +,513,des,Fruits et légumes,des,Fruits,des,Cerises,0,0,0,0,mg,0.1,0,,3
Fer,Population 1 an et +,666,des,Fruits et légumes,des,Fruits,des,Pêches et nectarines,0,0,0,0,mg,0.1,0,,3
Fer,Population 1 an et +,722,des,Fruits et légumes,des,Fruits,des,Poires,0,0,0,0,mg,0.1,0,,3
Fer,Population 1 an et +,847,des,Fruits et légumes,des,Fruits,des,Ananas,0,0,0,0,mg,0.1,0,,3
Fer,Population 1 an et +,315,des,Fruits et légumes,des,Fruits,des,Prunes et pruneaux,0,0,0,0,mg,0,0,,3
Fer,Population 1 an et +,15195,des,Fruits et légumes,des,Légumes incluant pommes de terre,des,Autres légumes,0.5,0,0.5,0.6,mg,4.4,0.1,,3
Fer,Population 1 an et +,9274,des,Fruits et légumes,des,Légumes incluant pommes de terre,des,Légumes vert foncé,0.4,0,0.3,0.4,mg,3,0.1,,3
Fer,Population 1 an et +,8457,des,Fruits et légumes,des,Légumes incluant pommes de terre,des,Légumes féculents,0.3,0,0.3,0.3,mg,2.6,0.1,,3
